Parent;Id;Sex;Birth date;Sire;Dam;Birth place;Location;Avg time between calves (years);Age on first calf (years);Offspring Count;;f;551
Dam;230;f;01.01.1971;wild;wild;UMFOLOZI;ARNHEM;22,5;8,8;2;;m;429
;644;m;04.10.1979;169;230;ARNHEM;ARNHEM;0;;;;h;1
;1406;f;19.03.2002;532;230;ARNHEM;TABERNAS;0;;;;?;5
Dam;907;f;25.12.1987;89;102;WHIPSNADE;ARNHEM;1,8;8,2;3;;Sires;73
;1156;m;18.03.1996;343;907;EMMEN;EMMEN;0;;;;Dams;110
;1183;m;27.02.1998;343;907;EMMEN;KOLMARDEN;0;;;;;
;1288;m;01.11.1999;343;907;EMMEN;EMMEN;0;;;;;
Sire;1025;m;08.08.1992;91;651;PARIS ZOO;ARNHEM;0;17,7;1;;;
;2005;m;06.04.2010;1025;1340;ARNHEM;ARNHEM;0;;;;;
Dam;1340;f;15.12.2000;1011;654;WHIPSNADE;ARNHEM;3,6;5,7;2;;;
;1596;f;13.09.2006;532;1340;ARNHEM;LONGLEAT;0;;;;;
;2005;m;06.04.2010;1025;1340;ARNHEM;ARNHEM;0;;;;;
Sire;1361;m;01.06.1996;wild;wild;S. AFRICA;BANDHOLM;1,8;11,7;2;;;
;1635;m;06.02.2008;1361;1362;BANDHOLM;BANDHOLM;0;;;;;
;2014;f;11.12.2009;1361;1362;BANDHOLM;BANDHOLM;0;;;;;
Dam;1362;f;01.06.1998;wild;wild;S. AFRICA;BANDHOLM;1,8;9,7;2;;;
;1635;m;06.02.2008;1361;1362;BANDHOLM;BANDHOLM;0;;;;;
;2014;f;11.12.2009;1361;1362;BANDHOLM;BANDHOLM;0;;;;;
Sire;1048;m;08.09.1994;221;225;HILVARENB;BEAUVAL;1,9;15,2;2;;;
;2037;m;12.11.2009;1048;1307;BEAUVAL; BEAUVAL;0;;;;;
;2068;m;16.10.2011;1048;1307;BEAUVAL;BEAUVAL;0;;;;;
Dam;1307;f;01.02.1998;wild;wild;S. AFRICAR;BEAUVAL;1,9;11,8;2;;;
;2037;m;12.11.2009;1048;1307;BEAUVAL; BEAUVAL;0;;;;;
;2068;m;16.10.2011;1048;1307;BEAUVAL;BEAUVAL;0;;;;;
Dam;967;f;22.10.1990;340;812;MUNSTER;BLAIRDRUM;3,5;9,8;4;;;
;1344;m;11.08.2000;974;967;MUNSTER;MUNSTER;0;;;;;
;1518;m;26.07.2005;974;967;MUNSTER;MUNSTER;0;;;;;
;1695;f;20.09.2009;974;967;MUNSTER;LONGLEAT;0;;;;;
;2066;m;02.04.2011;974;967;MUNSTER;MUNSTER;0;;;;;
Dam;1473;f;01.01.2000;wild;wild;S. AFRICA;BLAIRDRUM;2,1;7,7;3;;;
;1616;f;25.08.2007;1475;1473;BLAIRDRUM;HILVARENB;0;;;;;
;2006;f;21.12.2009;1475;1473;BLAIRDRUM;BLAIRDRUM;0;;;;;
;T108;m;24.11.2011;1475;1473;BLAIRDRUM;BLAIRDRUM;0;;;;;
Sire;1475;m;01.01.2000;wild;wild;S. AFRICA;BLAIRDRUM;2,1;7,7;3;;;
;1616;f;25.08.2007;1475;1473;BLAIRDRUM;HILVARENB;0;;;;;
;2006;f;21.12.2009;1475;1473;BLAIRDRUM;BLAIRDRUM;0;;;;;
;T108;m;24.11.2011;1475;1473;BLAIRDRUM;BLAIRDRUM;0;;;;;
Sire;1233;m;08.02.1999;828;856;MARWELL;BORAS;0;12,8;1;;;
;2067;f;16.11.2011;1233;1338;BORAS;BORAS;0;;;;;
Dam;1338;f;01.05.2000;1011;329;WHIPSNADE;BORAS;0;11,6;1;;;
;2067;f;16.11.2011;1233;1338;BORAS;BORAS;0;;;;;
Dam;1339;f;19.05.2000;1011;962;WHIPSNADE;BORAS;0;8,7;1;;;
;1658;m;27.01.2009;1223;1339;BORAS;BORAS;0;;;;;
Dam;902;f;01.01.1980;wild;wild;NATAL SA;BUDAPEST;1,6;25,6;3;;;
;1519;f;09.08.2005;578;902;BUDAPEST;BUDAPEST;0;;;;;
;1610;f;23.01.2007;578;902;BUDAPEST;BUDAPEST;0;;;;;
;1648;m;22.10.2008;88;902;BUDAPEST;ATTICAZOO;0;;;;;
Dam;988;f;20.10.1992;491;915;HODENHAGN;CABARCENO;0;4,9;1;;;
;1165;m;29.09.1997;404;988;CABARCENO;HILVARENB;0;;;;;
Dam;1458;f;01.01.1998;wild;wild;S. AFRICAR;COLCHESTER;0;11,8;1;;;
;1694;m;04.10.2009;88;1458;COLCHESTER;COLCHESTER;0;;;;;
Dam;1542;f;01.07.1996;wild;wild ;S. AFRICA;COPENHAGE;0;7;1;;;
;1543;f;01.07.2003;wild;1542;S. AFRICA;COPENHAGE;0;;;;;
Dam;403;f;01.10.1969;wild;wild;UMFOLOZI;DORTMUND;2,3;7,7;6;;;
;404;m;13.06.1977;319;403;MUNSTER;MUNSTER;0;;;;;
;509;m;23.09.1979;340;403;MUNSTER;MUNSTER;0;;;;;
;669;m;08.12.1981;340;403;MUNSTER;BRATISLAV;0;;;;;
;812;f;05.01.1985;340;403;MUNSTER;GIVSKUD;0;;;;;
;854;f;23.12.1986;340;403;MUNSTER;MUNSTER;0;;;;;
;1178;f;10.10.1988;340;403;MUNSTER;MUNSTER;0;;;;;
Sire;330;m;10.10.1976;70;105;WHIPSNADE;DUBLIN;0;16,9;1;;;
;1005;f;25.08.1993;330;104;DUBLIN;DUBLIN;0;;;;;
Sire;1552;m;01.12.2000;wild;wild;KRUGER;DUBLIN;2,5;7,5;2;;;
;1644;f;28.05.2008;1552;1555;DUBLIN;DUBLIN;0;;;;;
;2007;m;10.12.2010;1552;1555;DUBLIN;DUBLIN;0;;;;;
Dam;1555;f;01.12.2001;wild;wild;UMFOLOZI;DUBLIN;2,5;6,5;2;;;
;1644;f;28.05.2008;1552;1555;DUBLIN;DUBLIN;0;;;;;
;2007;m;10.12.2010;1552;1555;DUBLIN;DUBLIN;0;;;;;
Sire;627;m;03.03.1981;40;397;MEMPHIS;ERFURT;1,6;20,8;6;;;
;1393;m;06.12.2001;627;1207;ERFURT;SCHWERIN;0;;;;;
;1489;m;26.09.2004;627;1207;ERFURT;PELISSANE;0;;;;;
;1581;m;11.07.2005;627;1208;ERFURT;DORTMUND;0;;;;;
;1609;f;15.01.2007;627;1208;ERFURT;WHIPSNADE;0;;;;;
;1617;f;06.01.2008;627;1207;ERFURT;GIVSKUD;0;;;;;
;1996;m;29.10.2009;627;1207;ERFURT;KERKRADE;0;;;;;
Dam;1207;f;01.04.1996;1253;1257;SABLE RAN;ERFURT;2,6;5,7;4;;;
;1393;m;06.12.2001;627;1207;ERFURT;SCHWERIN;0;;;;;
;1489;m;26.09.2004;627;1207;ERFURT;PELISSANE;0;;;;;
;1617;f;06.01.2008;627;1207;ERFURT;GIVSKUD;0;;;;;
;1996;m;29.10.2009;627;1207;ERFURT;KERKRADE;0;;;;;
Dam;1208;f;01.07.1997;1253;1254;SABLE RAN;ERFURT;1,6;6,3;3;;;
;1456;?;02.10.2003;532;1208;ERFURT;ERFURT;0;;;;;
;1581;m;11.07.2005;627;1208;ERFURT;DORTMUND;0;;;;;
;1609;f;15.01.2007;627;1208;ERFURT;WHIPSNADE;0;;;;;
Dam;812;f;05.01.1985;340;403;MUNSTER;GIVSKUD;0;5,8;1;;;
;967;f;22.10.1990;340;812;MUNSTER;BLAIRDRUM;0;;;;;
Dam;1251;f;10.09.1999;1011;489;WHIPSNADE;GIVSKUD;1,9;5,3;2;;;
;1501;f;11.01.2005;221;1251;GIVSKUD;CABARCENO;0;;;;;
;1606;m;12.12.2006;221;1251;GIVSKUD;BLAIRDRUM;0;;;;;
Dam;1047;f;25.11.1994;89;329;WHIPSNADE;HILVARENB;0;16,4;1;;;
;2012;m;02.04.2011;1165;1047;HILVARENB;HILVARENB;0;;;;;
Sire;1165;m;29.09.1997;404;988;CABARCENO;HILVARENB;1,7;9,1;4;;;
;1603;m;02.11.2006;1165;225;HILVARENB;KERKRADE;0;;;;;
;2004;f;21.11.2009;1165;1203;HILVARENB;HILVARENB;0;;;;;
;2012;m;02.04.2011;1165;1047;HILVARENB;HILVARENB;0;;;;;
;T105;m;15.11.2011;1165;1203;HILVARENB;HILVARENB;0;;;;;
Dam;1203;f;27.08.1998;76;225;HILVARENB;HILVARENB;2;11,2;2;;;
;2004;f;21.11.2009;1165;1203;HILVARENB;HILVARENB;0;;;;;
;T105;m;15.11.2011;1165;1203;HILVARENB;HILVARENB;0;;;;;
Sire;487;m;28.09.1978;244;240;RAMAT GAN;JERUSALEM;2,5;15;2;;;
;1028;f;17.09.1993;487;641;RAMAT GAN;RAMAT GAN;0;;;;;
;1084;f;28.03.1996;487;641;RAMAT GAN;RAMAT GAN;0;;;;;
Sire;200;m;01.01.1969;wild;wild;UMFOLOZI;KATOWICE;3,3;16,2;6;;;
;844;m;13.03.1985;200;211;KATOWICE;KATOWICE;0;;;;;
;888;m;03.09.1986;200;211;KATOWICE;PLAISANCE;0;;;;;
;1023;f;08.01.1994;200;211;KATOWICE;KATOWICE;0;;;;;
;1210;f;02.02.1997;200;211;KATOWICE;KATOWICE;0;;;;;
;1211;f;21.08.1998;200;211;KATOWICE;KATOWICE;0;;;;;
;1413;f;16.10.2001;200;211;KATOWICE;KATOWICE;0;;;;;
Dam;211;f;31.05.1970;wild;wild;UMFOLOZI;KATOWICE;3,1;6,2;9;;;
;911;m;15.08.1976;111;211;DVURKRALV;DVURKRALV;0;;;;;
;530;f;04.04.1978;111;211;DVURKRALV;DVURKRALV;0;;;;;
;684;m;13.04.1981;111;211;KATOWICE;KATOWICE;0;;;;;
;844;m;13.03.1985;200;211;KATOWICE;KATOWICE;0;;;;;
;888;m;03.09.1986;200;211;KATOWICE;PLAISANCE;0;;;;;
;1023;f;08.01.1994;200;211;KATOWICE;KATOWICE;0;;;;;
;1210;f;02.02.1997;200;211;KATOWICE;KATOWICE;0;;;;;
;1211;f;21.08.1998;200;211;KATOWICE;KATOWICE;0;;;;;
;1413;f;16.10.2001;200;211;KATOWICE;KATOWICE;0;;;;;
Sire;829;m;25.08.1985;355;352;KNOWSLEY;KESSINGLA;0,8;14,1;16;;;
;1317;m;19.09.1999;829;1120;KNOWSLEY;KNOWSLEY;0;;;;;
;1318;f;31.01.2000;829;1026;KNOWSLEY;KNOWSLEY;0;;;;;
;1388;m;22.01.2001;829;1121;KNOWSLEY;KNOWSLEY;0;;;;;
;1562;f;18.09.2001;829;1026;KNOWSLEY;KNOWSLEY;0;;;;;
;1438;m;20.09.2001;829;1120;KNOWSLEY;PEAUGRES;0;;;;;
;1439;f;18.10.2002;829;1026;KNOWSLEY;KNOWSLEY;0;;;;;
;1472;m;16.02.2004;829;1026;KNOWSLEY;KNOWSLEY;0;;;;;
;1584;f;17.11.2005;829;1120;KNOWSLEY;KNOWSLEY;0;;;;;
;1591;m;25.04.2006;829;1026;KNOWSLEY;BURFORD;0;;;;;
;1597;f;19.09.2006;829;1121;KNOWSLEY;KNOWSLEY;0;;;;;
;1645;m;28.07.2008;829;1026;KNOWSLEY;LILLE ZO;0;;;;;
;1690;f;07.10.2008;829;1121;KNOWSLEY;LISIEUX Z;0;;;;;
;1652;m;04.12.2008;829;1120;KNOWSLEY;LILLE ZO;0;;;;;
;2039;m;30.11.2010;829;1120;KNOWSLEY;KNOWSLEY;0;;;;;
;2040;f;30.12.2010;829;1121;KNOWSLEY;KNOWSLEY;0;;;;;
;2041;f;12.01.2011;829;1026;KNOWSLEY;KNOWSLEY;0;;;;;
Sire;1095;m;01.01.1970;wild;wild;UMFOLOZI;KESSINGLA;0;15;1;;;
;1248;f;08.01.1985;1095;197;WOBURNLTD;WOBURNLTD;0;;;;;
Dam;1026;f;01.07.1994;139;97;EDINBURGH;KNOWSLEY;1,8;5,6;7;;;
;1318;f;31.01.2000;829;1026;KNOWSLEY;KNOWSLEY;0;;;;;
;1562;f;18.09.2001;829;1026;KNOWSLEY;KNOWSLEY;0;;;;;
;1439;f;18.10.2002;829;1026;KNOWSLEY;KNOWSLEY;0;;;;;
;1472;m;16.02.2004;829;1026;KNOWSLEY;KNOWSLEY;0;;;;;
;1591;m;25.04.2006;829;1026;KNOWSLEY;BURFORD;0;;;;;
;1645;m;28.07.2008;829;1026;KNOWSLEY;LILLE ZO;0;;;;;
;2041;f;12.01.2011;829;1026;KNOWSLEY;KNOWSLEY;0;;;;;
Dam;1120;f;01.01.1990;wild;wild;NATAL SA;KNOWSLEY;2,8;9,7;5;;;
;1317;m;19.09.1999;829;1120;KNOWSLEY;KNOWSLEY;0;;;;;
;1438;m;20.09.2001;829;1120;KNOWSLEY;PEAUGRES;0;;;;;
;1584;f;17.11.2005;829;1120;KNOWSLEY;KNOWSLEY;0;;;;;
;1652;m;04.12.2008;829;1120;KNOWSLEY;LILLE ZO;0;;;;;
;2039;m;30.11.2010;829;1120;KNOWSLEY;KNOWSLEY;0;;;;;
Dam;1121;f;01.01.1990;wild;wild;NATAL SA;KNOWSLEY;3,3;11,1;4;;;
;1388;m;22.01.2001;829;1121;KNOWSLEY;KNOWSLEY;0;;;;;
;1597;f;19.09.2006;829;1121;KNOWSLEY;KNOWSLEY;0;;;;;
;1690;f;07.10.2008;829;1121;KNOWSLEY;LISIEUX Z;0;;;;;
;2040;f;30.12.2010;829;1121;KNOWSLEY;KNOWSLEY;0;;;;;
Sire;1183;m;27.02.1998;343;907;EMMEN;KOLMARDEN;0;11,8;1;;;
;2016;f;25.11.2009;1183;1478;KOLMARDEN;KOLMARDEN;0;;;;;
Dam;1478;f;01.01.1991;wild;wild;UMFOLOZI;KOLMARDEN;4,2;10,5;3;;;
;1479;f;01.07.2001;wild;1478;UMFOLOZI;KOLMARDEN;0;;;;;
;1480;f;01.01.2004;wild;1478;KOLMARDEN;KOLMARDEN;0;;;;;
;2016;f;25.11.2009;1183;1478;KOLMARDEN;KOLMARDEN;0;;;;;
Dam;767;f;25.12.1982;221;225;HILVARENB;LA PALMYR;0;28,2;1;;;
;2058;f;19.03.2011;796;767;PEAUGRES;LA PALMYR;0;;;;;
Sire;796;m;23.03.1984;221;224;HILVARENB;LA PALMYR;0;27;1;;;
;2058;f;19.03.2011;796;767;PEAUGRES;LA PALMYR;0;;;;;
Sire;1013;m;01.01.1986;wild;wild;KRUGER;LISBON;0;24,9;1;;;
;2059;m;07.12.2010;1013;1570;LISBON;LISBON;0;;;;;
Dam;1570;f;01.01.2002;wild;wild;THABA MAN;LISBON;0;8,9;1;;;
;2059;m;07.12.2010;1013;1570;LISBON;LISBON;0;;;;;
Dam;651;f;19.10.1979;139;97;EDINBURGH;LISIEUX Z;4,7;8,1;2;;;
;1351;f;28.11.1987;91;651;PARIS ZOO;PARIS ZOO;0;;;;;
;1025;m;08.08.1992;91;651;PARIS ZOO;ARNHEM;0;;;;;
Sire;1010;m;16.11.1992;89;329;WHIPSNADE;LISIEUX Z;0;18,8;1;;;
;2063;m;30.08.2011;1010;1561;LISIEUX Z;LISIEUX Z;0;;;;;
Dam;1561;f;01.01.2000;wild;wild;S. AFRICA;LISIEUX Z;2,9;8,8;2;;;
;1647;f;08.10.2008;wild;1561;LISIEUX Z;BEWDLEY;0;;;;;
;2063;m;30.08.2011;1010;1561;LISIEUX Z;LISIEUX Z;0;;;;;
Dam;250;f;01.01.1969;wild;wild;UMFOLOZI;MADRID Z;0;40,4;1;;;
;1709;m;29.04.2009;250;1416;MADRID Z;MADRID Z;0;;;;;
Dam;1416;f;01.01.1998;wild;wild;S. AFRICAR;MADRID Z;0,9;10,4;2;;;
;1688;f;01.06.2008;1173;1416;SO LAKES;SO LAKES;0;;;;;
;1709;m;29.04.2009;250;1416;MADRID Z;MADRID Z;0;;;;;
Sire;828;m;23.11.1983;355;352;KNOWSLEY;MARWELL;4,9;15,2;2;;;
;1233;m;08.02.1999;828;856;MARWELL;BORAS;0;;;;;
;1466;m;31.12.2003;828;856;MARWELL;MALTON;0;;;;;
Dam;856;f;12.09.1986;139;97;EDINBURGH;MARWELL;4,9;12,4;2;;;
;1233;m;08.02.1999;828;856;MARWELL;BORAS;0;;;;;
;1466;m;31.12.2003;828;856;MARWELL;MALTON;0;;;;;
Sire;974;m;28.12.1990;89;329;WHIPSNADE;MUNSTER;3,5;9,6;4;;;
;1344;m;11.08.2000;974;967;MUNSTER;MUNSTER;0;;;;;
;1518;m;26.07.2005;974;967;MUNSTER;MUNSTER;0;;;;;
;1695;f;20.09.2009;974;967;MUNSTER;LONGLEAT;0;;;;;
;2066;m;02.04.2011;974;967;MUNSTER;MUNSTER;0;;;;;
Dam;224;f;01.01.1970;wild;wild;UMFOLOZI;PEAUGRES;2,4;8,9;8;;;
;488;f;22.11.1978;221;224;HILVARENB;HILVARENB;0;;;;;
;629;m;13.01.1981;221;224;HILVARENB;HILVARENB;0;;;;;
;796;m;23.03.1984;221;224;HILVARENB;LA PALMYR;0;;;;;
;835;f;26.10.1985;221;224;HILVARENB;HILVARENB;0;;;;;
;906;m;01.12.1987;221;224;HILVARENB;HILVARENB;0;;;;;
;964;f;01.12.1990;221;224;HILVARENB;HILVARENB;0;;;;;
;1009;f;08.10.1992;221;224;HILVARENB;WOBURNLTD;0;;;;;
;1064;m;16.01.1996;221;224;HILVARENB;SO LAKES;0;;;;;
Dam;931;f;30.05.1987;405;406;PRET LICH;POZNAN;4,7;12,5;3;;;
;1277;f;18.11.1999;1029;931;POZNAN;POZNAN;0;;;;;
;1462;f;19.11.2003;1029;931;POZNAN;PEAUGRES;0;;;;;
;1660;f;15.03.2009;1029;931;POZNAN;POZNAN;0;;;;;
Sire;1029;m;10.12.1993;111;114;USTI;POZNAN;4,7;5,9;3;;;
;1277;f;18.11.1999;1029;931;POZNAN;POZNAN;0;;;;;
;1462;f;19.11.2003;1029;931;POZNAN;PEAUGRES;0;;;;;
;1660;f;15.03.2009;1029;931;POZNAN;POZNAN;0;;;;;
Dam;241;f;01.01.1971;wild;wild;UMFOLOZI;RAMAT GAN;1,9;8,6;7;;;
;497;m;26.07.1979;MULT;241;RAMAT GAN;RAMAT GAN;0;;;;;
;640;m;05.04.1981;unk;241;RAMAT GAN;RAMAT GAN;0;;;;;
;766;m;21.11.1982;unk;241;RAMAT GAN;RAMAT GAN;0;;;;;
;799;m;07.08.1984;unk;241;RAMAT GAN;RAMAT GAN;0;;;;;
;913;m;17.10.1987;MULT;241;RAMAT GAN;RAMAT GAN;0;;;;;
;946;m;27.07.1989;unk;241;RAMAT GAN;RAMAT GAN;0;;;;;
;1049;m;26.01.1991;MULT;241;RAMAT GAN;BUDAPEST;0;;;;;
Dam;242;f;01.01.1971;wild;wild;UMFOLOZI;RAMAT GAN;2,1;8,7;6;;;
;399;m;12.09.1979;unk;242;RAMAT GAN;RAMAT GAN;0;;;;;
;641;f;27.02.1981;MULT;242;RAMAT GAN;RAMAT GAN;0;;;;;
;786;m;07.02.1984;unk;242;RAMAT GAN;RAMAT GAN;0;;;;;
;837;m;14.11.1985;unk;242;RAMAT GAN;RAMAT GAN;0;;;;;
;919;f;13.07.1988;unk;242;RAMAT GAN;RAMAT GAN;0;;;;;
;949;f;07.05.1990;MULT;242;RAMAT GAN;RAMAT GAN;0;;;;;
Sire;497;m;26.07.1979;MULT;241;RAMAT GAN;RAMAT GAN;9,2;9,8;3;;;
;945;m;22.05.1989;497;641;RAMAT GAN;JERUSALEM;0;;;;;
;1437;m;07.07.2002;497;1028;RAMAT GAN;RAMAT GAN;0;;;;;
;1630;m;23.09.2007;497;1083;RAMAT GAN;RAMAT GAN;0;;;;;
Dam;641;f;27.02.1981;MULT;242;RAMAT GAN;RAMAT GAN;2,1;4,7;6;;;
;838;m;24.11.1985;unk;641;RAMAT GAN;RAMAT GAN;0;;;;;
;787;f;13.12.1987;unk;641;RAMAT GAN;RAMAT GAN;0;;;;;
;945;m;22.05.1989;497;641;RAMAT GAN;JERUSALEM;0;;;;;
;1050;m;04.02.1992;unk;641;RAMAT GAN;RAMAT GAN;0;;;;;
;1028;f;17.09.1993;487;641;RAMAT GAN;RAMAT GAN;0;;;;;
;1084;f;28.03.1996;487;641;RAMAT GAN;RAMAT GAN;0;;;;;
Dam;1083;f;01.01.1993;wild;wild;UMFOLOZI;RAMAT GAN;1,7;14,7;2;;;
;1630;m;23.09.2007;497;1083;RAMAT GAN;RAMAT GAN;0;;;;;
;2013;m;19.05.2009;mult;1083;RAMAT GAN;RAMAT GAN;0;;;;;
Dam;1999;f;01.06.1999;wild;wild;WEENEN;SALZBURG;0;7,6;1;;;
;2001;f;01.01.2007;wild;1999;wWEENEN;PEAUGRES;0;;;;;
Sire;1173;m;08.04.1997;1011;329;WHIPSNADE;SO LAKES;1,7;11,2;3;;;
;1688;f;01.06.2008;1173;1416;SO LAKES;SO LAKES;0;;;;;
;1689;m;11.09.2008;1173;1460;SO LAKES;SO LAKES;0;;;;;
;T107;m;17.11.2011;1173;1461;SO LAKES;SO LAKES;0;;;;;
Dam;1460;f;01.01.1999;wild;wild;S. AFRICA;SO LAKES;0;9,7;1;;;
;1689;m;11.09.2008;1173;1460;SO LAKES;SO LAKES;0;;;;;
Dam;1461;f;01.01.1999;wild;wild;S. AFRICA;SO LAKES;0;12,9;1;;;
;T107;m;17.11.2011;1173;1461;SO LAKES;SO LAKES;0;;;;;
Dam;291;f;01.01.1970;wild;wild;HLUHLUWE;THOIRY;0;11;1;;;
;715;m;11.01.1981;76;291;ANTWERP;ANTWERP;0;;;;;
Sire;578;m;28.07.1979;116;119;LONGLEAT;THOIRY;1,5;26,1;2;;;
;1519;f;09.08.2005;578;902;BUDAPEST;BUDAPEST;0;;;;;
;1610;f;23.01.2007;578;902;BUDAPEST;BUDAPEST;0;;;;;
Dam;1280;f;10.01.2000;491;1043;HODENHAGN;VESZPREM;2,5;6,4;2;;;
;1592;f;22.05.2006;1004;1280;HODENHAGN;HODENHAGN;0;;;;;
;1691;f;22.11.2008;1004;1280;HODENHAGN;VESZPREM;0;;;;;
Dam;489;f;30.06.1978;70;102;WHIPSNADE;WHIPSNADE;2,8;21,2;4;;;
;1251;f;10.09.1999;1011;489;WHIPSNADE;GIVSKUD;0;;;;;
;1424;m;22.11.2001;1011;489;WHIPSNADE;MONTPELLI;0;;;;;
;1526;m;06.10.2005;1011;489;WHIPSNADE;KERKRADE;0;;;;;
;1632;m;28.12.2007;1011;489;WHIPSNADE;ATTICAZOO;0;;;;;
