Parent;Id;Sex;Birth date;Sire;Dam;Birth place;Location;Avg time between calves (years);Age on first calf (years);Offspring Count
Sire;1029;m;1993-12-10;111;114;USTI;POZNAN;4,7;5,9;3
;1277;f;1999-11-18;1029;931;POZNAN;POZNAN;0;;
;1462;f;2003-11-19;1029;931;POZNAN;PEAUGRES;0;;
;1660;f;2009-03-15;1029;931;POZNAN;POZNAN;0;;
Sire;330;m;1976-10-10;70;105;WHIPSNADE;DUBLIN;0;16,9;1
;1005;f;1993-08-25;330;104;DUBLIN;DUBLIN;0;;
Sire;497;m;1979-07-26;MULT;241;RAMAT GAN;RAMAT GAN;9,2;9,8;3
;945;m;1989-05-22;497;641;RAMAT GAN;JERUSALEM;0;;
;1437;m;2002-07-07;497;1028;RAMAT GAN;RAMAT GAN;0;;
;1630;m;2007-09-23;497;1083;RAMAT GAN;RAMAT GAN;0;;
Sire;1487;m;1970-01-01;wild;;;;0;21,9;1
;1486;m;1991-12-01;1487;1488;RIOLEORES;BIOPARCVA;0;;
Sire;404;m;1977-06-13;319;403;MUNSTER;CABARCENO;0;20,3;1
;1165;m;1997-09-29;404;988;CABARCENO;HILVARENB;0;;
Sire;76;m;1969-10-23;57;59;PRETORIA;HILVARENB;5,9;11,2;5
;715;m;1981-01-11;76;291;ANTWERP;ANTWERP;0;;
;1203;f;1998-08-27;76;225;HILVARENB;HILVARENB;0;;
;1350;f;2000-12-17;76;225;HILVARENB;HILVARENB;0;;
;1467;f;2003-02-07;76;225;HILVARENB;HILVARENB;0;;
;1490;m;2004-08-27;76;225;HILVARENB;SCHMIDING;0;;
Sire;1025;m;1992-08-08;91;651;PARIS ZOO;ARNHEM;0;17,7;1
;2005;m;2010-04-06;1025;1340;ARNHEM;ARNHEM;0;;
Sire;627;m;1981-03-03;40;397;MEMPHIS;ERFURT;1,6;20,8;6
;1393;m;2001-12-06;627;1207;ERFURT;SCHWERIN;0;;
;1489;m;2004-09-26;627;1207;ERFURT;PELISSANE;0;;
;1581;m;2005-07-11;627;1208;ERFURT;DORTMUND;0;;
;1609;f;2007-01-15;627;1208;ERFURT;WHIPSNADE;0;;
;1617;f;2008-01-06;627;1207;ERFURT;GIVSKUD;0;;
;1996;m;2009-10-29;627;1207;ERFURT;KERKRADE;0;;
Sire;1233;m;1999-02-08;828;856;MARWELL;BORAS;0;12,8;1
;2067;f;2011-11-16;1233;1338;BORAS;BORAS;0;;
Sire;974;m;1990-12-28;89;329;WHIPSNADE;MUNSTER;3,5;9,6;4
;1344;m;2000-08-11;974;967;MUNSTER;MUNSTER;0;;
;1518;m;2005-07-26;974;967;MUNSTER;munster;0;;
;1695;f;2009-09-20;974;967;MUNSTER;LONGLEAT;0;;
;2066;m;2011-04-02;974;967;MUNSTER;MUNSTER;0;;
Sire;829;m;1985-08-25;355;352;KNOWSLEY;KESSINGLA;0,8;14,1;16
;1317;m;1999-09-19;829;1120;KNOWSLEY;KNOWSLEY;0;;
;1318;f;2000-01-31;829;1026;KNOWSLEY;KNOWSLEY;0;;
;1388;m;2001-01-22;829;1121;KNOWSLEY;KNOWSLEY;0;;
;1562;f;2001-09-18;829;1026;KNOWSLEY;KNOWSLEY;0;;
;1438;m;2001-09-20;829;1120;KNOWSLEY;PEAUGRES;0;;
;1439;f;2002-10-18;829;1026;KNOWSLEY;KNOWSLEY;0;;
;1472;m;2004-02-16;829;1026;KNOWSLEY;KNOWSLEY;0;;
;1584;f;2005-11-17;829;1120;KNOWSLEY;KNOWSLEY;0;;
;1591;m;2006-04-25;829;1026;KNOWSLEY;BURFORD;0;;
;1597;f;2006-09-19;829;1121;KNOWSLEY;KNOWSLEY;0;;
;1645;m;2008-07-28;829;1026;KNOWSLEY;LILLE ZO;0;;
;1690;f;2008-10-07;829;1121;KNOWSLEY;LISIEUX Z;0;;
;1652;m;2008-12-04;829;1120;KNOWSLEY;LILLE ZO;0;;
;2039;m;2010-11-30;829;1120;KNOWSLEY;KNOWSLEY;0;;
;2040;f;2010-12-30;829;1121;KNOWSLEY;KNOWSLEY;0;;
;2041;f;2011-01-12;829;1026;KNOWSLEY;KNOWSLEY;0;;
Sire;487;m;1978-09-28;244;240;RAMAT GAN;JERUSALEM;2,5;15,0;2
;1028;f;1993-09-17;487;641;RAMAT GAN;RAMAT GAN;0;;
;1084;f;1996-03-28;487;641;RAMAT GAN;RAMAT GAN;0;;
Sire;1183;m;1998-02-27;343;907;EMMEN;KOLMARDEN;0;11,8;1
;2016;f;2009-11-25;1183;1478;KOLMARDEN;KOLMARDEN;0;;
Sire;1048;m;1994-09-08;221;225;HILVARENB;BEAUVAL;1,9;13,4;3
;1634;m;2008-01-17;1048;1307;BEAUVAL;BEAUVAL;0;;
;2037;m;2009-11-12;1048;1307;BEAUVAL; BEAUVAL;0;;
;2068;m;2011-10-16;1048;1307;BEAUVAL;BEAUVAL;0;;
Sire;1173;m;1997-04-08;1011;329;WHIPSNADE;SO LAKES;1,7;11,2;3
;1688;f;2008-06-01;1173;1461;SO LAKES;SO LAKES;0;;
;1689;m;2008-09-11;1173;1460;SO LAKES;SO LAKES;0;;
;T107;m;2011-11-17;1173;1461;SO LAKES;SO LAKES;0;;
Sire;532;m;1979-12-19;70;103;WHIPSNADE;ARNHEM;2,2;22,3;3
;1406;f;2002-03-19;532;230;ARNHEM;TABERNAS;0;;
;1456;?;2003-10-02;532;1208;ERFURT;ERFURT;0;;
;1596;f;2006-09-13;532;1340;ARNHEM;LONGLEAT;0;;
Sire;218;m;1973-02-03;52;157;SD-WAP;SD-WAP;0;12,1;1
;826;m;1985-02-27;143;218;TORONTO;TORONTO;0;;
Sire;1165;m;1997-09-29;404;988;CABARCENO;HILVARENB;1,7;9,1;4
;1603;m;2006-11-02;1165;225;HILVARENB;KERKRADE;0;;
;2004;f;2009-11-21;1165;1203;HILVARENB;HILVARENB;0;;
;2012;m;2011-04-02;1165;1047;HILVARENB;HILVARENB;0;;
;T105;m;2011-11-15;1165;1203;HILVARENB;HILVARENB;0;;
Sire;578;m;1979-07-28;116;119;LONGLEAT;THOIRY;1,5;26,1;2
;1519;f;2005-08-09;578;902;BUDAPEST;BUDAPEST;0;;
;1610;f;2007-01-23;578;902;BUDAPEST;BUDAPEST;0;;
Sire;1010;m;1992-11-16;89;329;WHIPSNADE;LISIEUX Z;0;18,8;1
;2063;m;2011-08-30;1010;1561;LISIEUX Z;LISIEUX Z;0;;
Sire;828;m;1983-11-23;355;352;KNOWSLEY;MARWELL;4,9;15,2;2
;1233;m;1999-02-08;828;856;MARWELL;BORAS;0;;
;1466;m;2003-12-31;828;856;MARWELL;MALTON;0;;
Sire;1147;m;1995-07-22;491;494;HODENHAGN;HODENHAGN;0;6,5;1
;1410;f;2002-01-27;1060;1147;BEWDLEY;BEWDLEY;0;;
Sire;796;m;1984-03-23;221;224;HILVARENB;LA PALMYR;0;27,0;1
;2058;f;2011-03-19;796;767;PEAUGRES;LA PALMYR;0;;
Sire;1004;m;1993-09-13;491;494;HODENHAGN;HODENHAGN;0,9;12,6;7
;1590;f;2006-04-01;1004;1220;HODENHAGN;HODENHAGN;0;;
;1592;f;2006-05-22;1004;1280;HODENHAGN;HODENHAGN;0;;
;1628;f;2007-12-17;1004;1220;HODENHAGN;OSNABRUCK;0;;
;1691;f;2008-11-22;1004;1280;HODENHAGN;VESZPREM;0;;
;2021;f;2009-08-30;1004;1220;HODENHAGN;HODENHAGN;0;;
;T109;f;2011-02-21;1004;1697;HODENHAGN;HODENHAGN;0;;
;2022;m;2011-09-27;1004;1220;HODENHAGN;HODENHAGN;0;;
